-BEGIN HEADER-,,,,,
NASA/POWER Source Native Resolution Daily Data ,,,,,
Dates (month/day/year): 01/01/2022 through 12/31/2025 in LST,,,,,
Location: latitude  22.57   longitude 88.36 ,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 7.35 meters,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,
parameter(s): ,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,
-END HEADER-,,,,,
YEAR,MO,DY,T2M,WS10M,ALLSKY_SFC_SW_DWN
2023,10,28,24.08,2.26,3.732
2023,10,29,23.06,2.42,4.1652
2023,10,30,23.61,2.21,4.7201
2023,10,31,24.23,1.95,4.9594
2023,11,1,24.52,2.4,5.0443
2023,11,2,25.11,2.11,4.6421
2023,11,3,25.71,1.69,4.0344
2023,11,4,26.03,1.33,3.1594
2023,11,5,25.17,2.18,3.253
2023,11,6,23.38,2.63,3.9338
2023,11,7,22.53,2.18,3.6619
2023,11,8,21.78,2.23,3.8004
2023,11,9,21.85,2.14,3.9178
2023,11,10,22.11,2.14,4.085
2023,11,11,22.36,2.32,3.9307
2023,11,12,22.35,2.69,4.0709
2023,11,13,22.02,3.03,4.3157
2023,11,14,21.79,2.77,4.3104
2023,11,15,22.32,2.54,3.8503
2023,11,16,22.64,3.09,1.4722
2023,11,17,23.92,4.97,2.0424
2023,11,18,23.99,2.12,3.827
2023,11,19,23.31,2.74,4.7016
2023,11,20,22.33,2.75,4.2348
2023,11,21,22.78,2.59,3.8928
2023,11,22,20.75,2.74,3.4601
2023,11,23,19.58,2.67,3.5815
2023,11,24,19.6,2.7,3.6278
2023,11,25,19.96,2.85,3.803
2023,11,26,20.64,3.04,4.3937
2023,11,27,20.2,2.29,3.479
2023,11,28,20.87,2.38,3.8506
2023,11,29,21.35,2.78,2.6383
2023,11,30,22.38,2.84,3.6698
2023,12,1,22.36,2.95,4.307
2023,12,2,22.73,2.68,3.9434
2023,12,3,22.81,2.74,3.3662
2023,12,4,22.46,2.68,2.339
2023,12,5,22.36,1.96,1.3992
2023,12,6,20.89,3.15,1.8214
2023,12,7,21.2,3.35,0.6437
2023,12,8,20.9,3.13,1.8386
2023,12,9,19.65,3.19,3.8006
2023,12,10,18.48,2.47,3.5875
2023,12,11,16.59,3.16,3.9017
2023,12,12,16.6,2.69,3.707
2023,12,13,17.47,2.48,3.8837
2023,12,14,16.7,2.54,3.4291
2023,12,15,15.81,2.87,3.6089
2023,12,16,15.68,2.72,3.6794
2023,12,17,15.87,2.72,3.7922
2023,12,18,15.56,3,3.5026
2023,12,19,15.57,3.24,3.5551
2023,12,20,15.73,3.39,3.6638
2023,12,21,16.69,3.06,3.5707
2023,12,22,17.92,2.56,3.4517
2023,12,23,18.83,2.43,2.8238
2023,12,24,18.43,2.63,3.1752
2023,12,25,18.87,2.45,3.3322
2023,12,26,19.26,2.32,3.3276
2023,12,27,18.96,2.42,2.9822
2023,12,28,18.64,2.49,3.1334
2023,12,29,18.39,2.91,3.7289
2023,12,30,17.96,3.3,3.8741
2023,12,31,16.84,3.32,3.5477
2024,1,1,16.18,2.9,3.3631
2024,1,2,15.56,3.11,3.6072
2024,1,3,15.79,3.07,4.1467
2024,1,4,17.39,2.47,3.8578
2024,1,5,18.15,2.61,3.5316
2024,1,6,18.86,2.6,2.9342
2024,1,7,18.62,2.93,2.9606
2024,1,8,18.58,3.16,2.9786
2024,1,9,17.33,3.22,3.5172
2024,1,10,18.13,2.36,3.732
2024,1,11,17.9,3.17,2.947
2024,1,12,14.69,3.41,3.3866
2024,1,13,14.23,3.05,3.701
2024,1,14,13.87,2.81,3.4999
2024,1,15,14.43,2.67,2.2078
2024,1,16,15.41,2.04,2.7202
2024,1,17,16.32,1.77,2.0743
2024,1,18,17.07,1.65,0.6595
2024,1,19,17.67,2.89,2.2994
2024,1,20,16.68,2.83,2.7065
2024,1,21,16.2,2.69,1.7126
2024,1,22,14.37,3.6,3.2638
2024,1,23,15.84,2.12,3.8474
2024,1,24,15.24,1.27,1.5936
2024,1,25,15.48,2.13,3.0293
2024,1,26,15,3.41,3.7471
2024,1,27,14.8,2.9,3.7488
2024,1,28,15.83,2.37,3.8506
2024,1,29,17.6,1.82,3.864
2024,1,30,18.94,2.22,3.4639
2024,1,31,20.46,1.16,2.4694
2024,2,1,20.58,1.47,1.1647
2024,2,2,20.65,2.6,2.9105
2024,2,3,19.5,2.94,3.5448
2024,2,4,19.89,2.56,4.7014
2024,2,5,20.76,2.25,4.29
2024,2,6,22.35,2.18,2.4619
2024,2,7,21.33,2.65,3.377
2024,2,8,18.73,3.18,4.9123
2024,2,9,16.66,3.21,5.3976
2024,2,10,16.93,3.17,4.5516
2024,2,11,19.35,2.61,4.6058
2024,2,12,21.75,1.93,3.6463
2024,2,13,23.14,1.74,2.695
2024,2,14,23.78,0.98,3.5539
2024,2,15,23.24,2.04,3.607
2024,2,16,22.39,3.06,3.5741
2024,2,17,21.98,2.46,4.1726
2024,2,18,22.29,1.9,3.8182
2024,2,19,22.85,2.1,3.8969
2024,2,20,24.19,2.87,3.7951
2024,2,21,25.14,2.69,4.1767
2024,2,22,25.81,2.51,2.5838
2024,2,23,23.93,2.95,3.9473
2024,2,24,23.41,2.55,3.2054
2024,2,25,23.17,2.8,2.7036
2024,2,26,22.88,2.57,4.9008
2024,2,27,23.83,2.46,4.6817
2024,2,28,24.88,2.41,4.5
2024,2,29,24.6,2.15,5.0952
2024,3,1,24.23,2.38,5.2747
2024,3,2,24.99,1.78,5.2296
2024,3,3,25.67,2.36,3.7644
2024,3,4,25.94,2.34,3.7464
2024,3,5,25.81,2.89,5.2682
2024,3,6,24.57,2.77,5.7329
2024,3,7,24.64,2.71,2.3498
2024,3,8,24.81,3.06,5.4463
2024,3,9,24.17,2.96,6.5282
2024,3,10,23.51,2.56,6.2107
2024,3,11,24.91,2.58,6.3955
2024,3,12,26.89,2.65,4.2473
2024,3,13,28.31,2.85,4.1938
2024,3,14,28.98,2.5,3.4402
2024,3,15,29.38,1.89,4.8043
2024,3,16,28.7,1.8,4.1318
2024,3,17,28.36,1.79,3.8302
2024,3,18,28.35,1.49,2.6765
2024,3,19,28.28,2.15,3.4142
2024,3,20,23.38,1.9,1.4489
2024,3,21,23.95,2.19,5.0122
2024,3,22,25,2.18,5.2476
2024,3,23,26.81,2.92,6.0379
2024,3,24,28.19,3.58,6.0557
2024,3,25,28.79,3.31,5.6374
2024,3,26,28.68,3.57,5.604
2024,3,27,29.73,2.19,5.5459
2024,3,28,29.8,1.65,5.6407
2024,3,29,30.33,2.51,5.1158
2024,3,30,31.24,3.01,5.1977
2024,3,31,31.56,3.79,5.1658
2024,4,1,31.54,3.69,6.0869
2024,4,2,31.6,2.47,6.0571
2024,4,3,31.56,2.6,5.8958
2024,4,4,32.09,3.68,5.4504
2024,4,5,32.74,3.38,5.0722
2024,4,6,33.24,2.63,5.9587
2024,4,7,32.7,2.9,2.0306
2024,4,8,31.33,4.17,3.5868
2024,4,9,31.23,2.5,5.2651
2024,4,10,31.19,1.93,3.815
2024,4,11,31.32,2.72,2.5418
2024,4,12,31.65,1.98,5.1732
2024,4,13,31.73,2.12,5.6006
2024,4,14,32.53,2.33,5.7456
2024,4,15,33.26,3.15,5.802
2024,4,16,34.28,3.55,5.9551
2024,4,17,35.06,3.27,6.2986
2024,4,18,34.79,2.7,6.8071
2024,4,19,34.38,4.14,6.9046
2024,4,20,35.24,4.56,6.7613
2024,4,21,35.18,3.41,6.2131
2024,4,22,35.67,3.22,5.7386
2024,4,23,35.28,3.71,5.8277
2024,4,24,35.14,4.11,6.3559
2024,4,25,35.45,2.8,6.5705
2024,4,26,35.25,3.01,6.1793
2024,4,27,35.84,3.46,6.3346
2024,4,28,36.03,3.18,6.1721
2024,4,29,36.37,3.93,6.4932
2024,4,30,37.25,5.39,6.4414
2024,5,1,36.68,3.62,6.5916
2024,5,2,35.88,4.01,6.4958
2024,5,3,35,2.76,6.9761
2024,5,4,33.31,4.7,6.0965
2024,5,5,33.96,6.21,6.4795
2024,5,6,32.21,6.77,4.145
2024,5,7,31.33,3.81,5.5315
2024,5,8,29.8,2.65,5.1533
2024,5,9,29.53,2.35,4.309
2024,5,10,29.3,3,4.9325
2024,5,11,30.19,3.91,4.3742
2024,5,12,30.17,2.19,5.9412
2024,5,13,30.64,1.9,6.0473
2024,5,14,31,2.46,6.1555
2024,5,15,30.78,3,6.7754
2024,5,16,31.21,2.88,5.988
2024,5,17,32.22,3.69,6.3703
2024,5,18,33.2,3.73,5.2872
2024,5,19,32.97,4.19,4.9248
2024,5,20,32.56,3.4,4.5535
2024,5,21,31.97,2.39,5.2987
2024,5,22,31.71,2.87,5.196
2024,5,23,31.89,2.52,6.815
2024,5,24,32.92,3.18,6.8628
2024,5,25,33.13,2.67,6.0725
2024,5,26,30,8.61,2.299
2024,5,27,28.1,10,0.7181
2024,5,28,30.83,3.82,4.8379
2024,5,29,31.54,6.17,4.3764
2024,5,30,31.17,6.48,4.8523
2024,5,31,30.17,5.13,2.3544
2024,6,1,30.19,4.83,5.5202
2024,6,2,30.35,4.92,5.3246
2024,6,3,29.58,3.76,4.489
2024,6,4,30.84,4.27,6.3154
2024,6,5,31.12,3.12,6.3758
2024,6,6,30.79,2.73,5.2716
2024,6,7,31.54,3.83,6.119
2024,6,8,31.97,5.27,6.1567
2024,6,9,30.88,4.54,5.8656
2024,6,10,31.15,4.67,6.2352
2024,6,11,30.16,5.46,6.0022
2024,6,12,30.93,4.95,5.1965
2024,6,13,31.04,4.89,5.689
2024,6,14,31.71,4.92,5.9563
2024,6,15,31.02,5.02,5.2186
2024,6,16,31.39,4.32,5.191
2024,6,17,31.11,5.54,4.7626
2024,6,18,31.39,6.44,3.5314
2024,6,19,29.6,5.54,2.2682
2024,6,20,30.4,4.36,3.1106
2024,6,21,29.78,2.31,2.6558
2024,6,22,30.27,2.94,4.8451
2024,6,23,30.57,3.04,5.3002
2024,6,24,30.08,3.73,5.7761
2024,6,25,30.87,3.88,6.4294
2024,6,26,30.77,3.15,5.3251
2024,6,27,29.96,3.81,3.5938
2024,6,28,30.28,3.41,2.9254
2024,6,29,29.94,3.83,3.3226
2024,6,30,29.66,4.35,2.3186
2024,7,1,29.06,5.68,2.6693
2024,7,2,29.21,5.4,1.6289
2024,7,3,28.88,5.07,3.025
2024,7,4,28.92,5.63,3.0362
2024,7,5,29.65,5.15,4.3865
2024,7,6,29.49,3.35,3.3617
2024,7,7,29.38,3.27,4.8101
2024,7,8,29.18,3.41,5.3455
2024,7,9,29.73,3.58,5.2272
2024,7,10,29.94,4.7,5.9304
2024,7,11,29.7,5.27,4.9039
2024,7,12,29.39,4.45,2.1629
2024,7,13,29.52,3.18,5.2807
2024,7,14,30.08,3.38,5.3443
2024,7,15,29.44,4.9,5.0928
2024,7,16,29.3,3,4.8566
2024,7,17,29.64,3.05,5.0616
2024,7,18,30,3.99,5.3729
2024,7,19,29.89,5.84,5.0904
2024,7,20,29.64,6.56,5.6674
2024,7,21,29.45,5.86,5.0287
2024,7,22,29.48,5.41,4.2883
2024,7,23,29.62,4.31,4.3723
2024,7,24,29.73,4.38,3.8671
2024,7,25,29.86,3.62,3.8455
2024,7,26,30.4,3.58,3.905
2024,7,27,29.57,5.72,4.2643
2024,7,28,29.74,3.33,4.6253
2024,7,29,30.04,2.71,4.8492
2024,7,30,29.1,3.96,4.3906
2024,7,31,28.58,2.94,3.9305
2024,8,1,28.58,4.3,1.0037
2024,8,2,28.26,7.19,2.1458
2024,8,3,27.75,6.5,1.9805
2024,8,4,28.73,4.51,4.1222
2024,8,5,29.13,2.97,3.8002
2024,8,6,28.28,2.28,3.5791
2024,8,7,27.98,2.71,3.9703
2024,8,8,28.2,4.31,3.1534
2024,8,9,28.6,4.02,4.2214
2024,8,10,28.24,2.97,3.0118
2024,8,11,28.85,3.19,3.0091
2024,8,12,29.02,3.03,4.6522
2024,8,13,28.97,2.56,3.3974
2024,8,14,28.56,2.14,4.0034
2024,8,15,29.19,1.58,3.8424
2024,8,16,28.45,1.26,3.0977
2024,8,17,28.19,2.71,5.3827
2024,8,18,28.11,4.62,1.5754
2024,8,19,27.72,4.11,2.1401
2024,8,20,28.84,2.71,3.1133
2024,8,21,28.61,4.05,4.2754
2024,8,22,28.28,3.28,3.2652
2024,8,23,28.54,1.42,1.1779
2024,8,24,27.17,2.92,2.6458
2024,8,25,27.06,3.53,2.537
2024,8,26,27.58,4.33,2.6162
2024,8,27,27.56,3.01,2.5382
2024,8,28,28.27,1.75,5.5891
2024,8,29,28.06,2.48,5.7917
2024,8,30,28.25,2.63,6.1046
2024,8,31,28.56,3.77,5.3426
2024,9,1,28.13,3.41,4.7566
2024,9,2,28.48,2.56,5.4034
2024,9,3,28.69,1.83,4.9502
2024,9,4,28.28,2.42,5.1542
2024,9,5,28.73,2.2,5.741
2024,9,6,28.2,2.08,5.4509
2024,9,7,28.2,2.87,5.1446
2024,9,8,28.81,3.68,4.4167
2024,9,9,28.39,4.71,4.4095
2024,9,10,28.69,4.37,4.8079
2024,9,11,29.02,1.96,4.4782
2024,9,12,28.54,3.01,2.8262
2024,9,13,27.89,3.83,1.9903
2024,9,14,27.2,7.56,1.1146
2024,9,15,27.06,7.07,1.1292
2024,9,16,27.15,6.87,1.7954
2024,9,17,27.95,3.99,5.3194
2024,9,18,28.49,1.16,5.7262
2024,9,19,28.73,2.15,4.9613
2024,9,20,29.36,1.98,5.3429
2024,9,21,29.55,1.78,4.9298
2024,9,22,28.98,2.24,5.683
2024,9,23,28.77,2.01,3.5112
2024,9,24,27.8,2.76,3.6631
2024,9,25,27.34,3.78,2.0554
2024,9,26,27.52,4.1,1.3294
2024,9,27,27.6,3.76,4.1954
2024,9,28,28.04,3.21,4.7018
2024,9,29,28.86,2.7,5.1871
2024,9,30,28.78,2.61,4.735
2024,10,1,29.22,1.95,4.4333
2024,10,2,27.29,2.86,2.3446
2024,10,3,27.88,1.92,3.3557
2024,10,4,27.29,2.62,2.2478
2024,10,5,27,1.89,3.1274
2024,10,6,27.18,2.07,3.2772
2024,10,7,27.21,1.55,4.6039
2024,10,8,27.47,1.19,4.1275
2024,10,9,27.36,2.38,4.7755
2024,10,10,27.33,2.89,4.6646
2024,10,11,27.86,2.77,4.9498
2024,10,12,28.34,2.15,4.4357
2024,10,13,27.91,1.87,3.8054
2024,10,14,27.46,1.79,4.3378
2024,10,15,28.25,0.97,3.7762
2024,10,16,28.08,1.24,3.0382
2024,10,17,28.01,2.01,3.5642
2024,10,18,27.89,1.98,3.6876
2024,10,19,27.75,1.98,2.9858
2024,10,20,26.15,2.42,4.2972
2024,10,21,25.53,2.55,3.6838
2024,10,22,25.85,2.45,4.9747
2024,10,23,25.43,3.08,2.201
2024,10,24,25.58,7.23,1.4942
2024,10,25,26.45,7.35,0.3996
2024,10,26,26.62,3.88,3.7908
2024,10,27,26.55,2.41,3.8702
2024,10,28,27.04,1.47,4.4635
2024,10,29,26.99,1.71,4.6534
2024,10,30,27.08,2.3,4.3159
2024,10,31,27.19,2.47,4.6056
2024,11,1,26.92,1.83,4.2506
2024,11,2,26.34,1.15,4.267
2024,11,3,25.89,1.13,3.7896
2024,11,4,25.73,0.95,3.666
2024,11,5,24.89,2.12,3.431
2024,11,6,25.05,1.89,4.2727
2024,11,7,25.03,2.17,4.3586
2024,11,8,24.91,1.98,4.7628
2024,11,9,24.45,2.19,4.7784
2024,11,10,23.5,2.51,5.0662
2024,11,11,23.35,2.44,3.8861
2024,11,12,24.04,2.31,4.0171
2024,11,13,23.56,2.2,4.5463
2024,11,14,22.59,2.44,3.7649
2024,11,15,21.92,2.41,3.8558
2024,11,16,21.11,2.52,4.0831
2024,11,17,21.38,1.61,4.068
2024,11,18,21.17,1.62,3.9504
2024,11,19,20.51,1.95,4.0066
2024,11,20,20.33,2.11,4.1806
2024,11,21,21.8,1.62,3.8345
2024,11,22,21.03,1.98,3.6859
2024,11,23,20.84,2.12,3.1819
2024,11,24,20.37,1.83,2.9791
2024,11,25,20.3,1.83,2.7463
2024,11,26,19.64,1.96,3.307
2024,11,27,19.49,2.41,3.545
2024,11,28,20.2,2.94,3.9782
2024,11,29,20.93,2.76,2.7533
2024,11,30,21.18,2.59,1.673
2024,12,1,20.81,2.82,3.3341
2024,12,2,20.48,2.47,2.2078
2024,12,3,20.86,2.5,3.103
2024,12,4,20.45,1.92,3.7577
2024,12,5,20.97,1.61,3.7274
2024,12,6,19.99,1.76,3.8729
2024,12,7,18.86,1.97,4.008
2024,12,8,18.67,2.03,3.833
2024,12,9,18.02,1.68,2.4941
2024,12,10,19.18,2.43,2.9537
2024,12,11,16.5,3.12,2.7886
2024,12,12,15.38,3.13,3.6847
2024,12,13,15.02,2.91,3.755
2024,12,14,14.1,3.2,3.87
2024,12,15,14.34,3.26,4.1047
2024,12,16,15.98,2.3,4.0567
2024,12,17,16.97,2.67,3.577
2024,12,18,17.31,2.54,3.5573
2024,12,19,17.76,2.52,3.7387
2024,12,20,18.13,2.36,3.1152
2024,12,21,17.48,2.02,1.3166
2024,12,22,18.1,2.48,3.6787
2024,12,23,17.59,2.95,3.7692
2024,12,24,18.76,1.98,3.1946
2024,12,25,18.68,2.14,2.2639
2024,12,26,19.11,2.73,3.503
2024,12,27,18.84,2.99,3.7428
2024,12,28,19.54,1.94,3.9821
2024,12,29,20.9,1.63,3.4937
2024,12,30,20.26,2.44,3.4778
2024,12,31,16.83,3.65,3.1812
2025,1,1,15.05,3.54,3.3862
2025,1,2,14.46,3.5,3.8534
2025,1,3,14.42,2.9,3.2904
2025,1,4,15.71,2.78,2.9042
2025,1,5,16.84,2.24,2.7406
2025,1,6,18.55,1.64,3.3336
2025,1,7,18.27,2.7,3.0264
2025,1,8,15.76,3.25,3.0024
2025,1,9,15.2,2.8,3.7548
2025,1,10,14.83,2.82,3.6727
2025,1,11,15.73,2.46,3.8702
2025,1,12,17.84,1.74,4.3037
2025,1,13,18.47,1.57,3.5633
2025,1,14,18.61,2.93,2.8248
2025,1,15,16.97,3.51,3.3415
2025,1,16,16.77,2.98,4.0493
2025,1,17,17.76,3.2,4.1467
2025,1,18,17.98,2.94,4.1134
2025,1,19,17.62,3.31,4.4198
2025,1,20,17.11,2.6,4.6346
2025,1,21,18.44,2.08,4.3409
2025,1,22,19.39,1.92,4.2442
2025,1,23,20.28,1.56,3.3017
2025,1,24,20.52,1.81,3.0866
2025,1,25,19.95,1.96,1.9546
2025,1,26,17.71,2.84,4.0666
2025,1,27,17.6,2.21,4.4774
2025,1,28,18.86,1.14,3.9058
2025,1,29,19.92,2.14,2.7586
2025,1,30,21.95,3.94,2.6851
2025,1,31,21.98,2.73,2.0623
2025,2,1,23.51,1.98,1.7388
2025,2,2,23.11,1.97,1.356
2025,2,3,22.45,2.17,3.3905
2025,2,4,21.14,2.01,4.3092
2025,2,5,22.73,2.02,3.9242
2025,2,6,22.89,3.17,3.865
2025,2,7,19.73,2.92,5.5186
2025,2,8,18.69,2.6,5.4002
2025,2,9,19.28,2.19,5.1
2025,2,10,21.21,2.29,4.8355
2025,2,11,22.23,2.97,4.2554
2025,2,12,24.04,2.15,3.7987
2025,2,13,23.9,2.62,4.1052
2025,2,14,20.56,2.68,5.423
2025,2,15,21.55,2.02,5.4658
2025,2,16,22.35,2.84,5.0148
2025,2,17,23.71,2.91,4.637
2025,2,18,25.14,1.59,4.4616
2025,2,19,24.78,1.64,3.4999
2025,2,20,24.43,1.65,1.249
2025,2,21,24.53,1.79,4.6855
2025,2,22,25.03,2.86,3.9466
2025,2,23,24.67,2.32,3.9998
2025,2,24,23.73,2.25,4.1218
2025,2,25,23.92,2.04,4.02
2025,2,26,23.42,2.23,4.2938
2025,2,27,24.28,1.79,4.1702
2025,2,28,25.37,1.74,4.2571
2025,3,1,26.05,3.9,5.1511
2025,3,2,25.99,3.2,4.8226
2025,3,3,27.37,2.23,4.3942
2025,3,4,26.19,2.58,5.7986
2025,3,5,25.53,2.91,5.9897
2025,3,6,23.06,2.85,6.3504
2025,3,7,22.78,2.7,6.4116
2025,3,8,24.46,3.3,5.4624
2025,3,9,26.06,2.57,5.3158
2025,3,10,26.93,2.06,5.4878
2025,3,11,26.76,3.81,5.766
2025,3,12,27.98,3.41,5.9722
2025,3,13,28.98,4.07,5.8694
2025,3,14,29.57,3.16,5.365
2025,3,15,30.23,3.27,5.2452
2025,3,16,30.67,3.26,5.6016
2025,3,17,29.16,3.44,4.446
2025,3,18,28.92,3,5.365
2025,3,19,28.88,2.47,5.4286
2025,3,20,29.08,3.03,3.4488
2025,3,21,28.01,2.21,3.6982
2025,3,22,25.92,3.01,2.0801
2025,3,23,27.14,1.24,3.9907
2025,3,24,26.97,1.99,5.652
2025,3,25,27.55,2.33,5.6016
2025,3,26,28.37,3.99,6.101
2025,3,27,29.37,3.32,6.3804
2025,3,28,29.99,3.64,6.4658
2025,3,29,30.83,3.14,6.0641
2025,3,30,30.48,2.76,5.3822
2025,3,31,30.31,3.7,4.9673
2025,4,1,29.96,4.49,5.5795
2025,4,2,30.26,3.53,5.5747
2025,4,3,30.7,2.7,5.5135
2025,4,4,31.86,3.48,3.8112
2025,4,5,31.54,2.98,5.8138
2025,4,6,31.43,4.87,5.6724
2025,4,7,30.85,3.78,5.6815
2025,4,8,29.37,3.25,5.7449
2025,4,9,30.42,3.59,6.3151
2025,4,10,29.95,3.81,5.9304
2025,4,11,29.6,2.6,6.1913
2025,4,12,29.7,3.15,5.5224
2025,4,13,29.2,1.69,6.0012
2025,4,14,29.63,1.87,4.9558
2025,4,15,30.09,1.69,6.2323
2025,4,16,30.17,3.58,4.8252
2025,4,17,30.36,3.89,5.021
2025,4,18,29.29,3.07,3.7231
2025,4,19,30.31,2.7,4.9457
2025,4,20,31.57,3.92,5.2063
2025,4,21,32,5.31,4.697
2025,4,22,32.56,5.19,5.4931
2025,4,23,33.12,4.77,6.7145
2025,4,24,32.81,5.32,6.0521
2025,4,25,32.93,5.13,5.7144
2025,4,26,32.57,6.15,6.378
2025,4,27,32.27,3.95,4.8463
2025,4,28,30.87,1.58,3.8393
2025,4,29,29.3,1.81,6.1123
2025,4,30,29.53,1.54,3.9478
2025,5,1,29.29,0.96,6.649
2025,5,2,29.41,1.64,6.8489
2025,5,3,29.92,3.05,6.4668
2025,5,4,30.19,2.86,5.4182
2025,5,5,30.63,2.96,6.4013
2025,5,6,31.37,2.95,4.9654
2025,5,7,31.54,2.8,6.5575
2025,5,8,32.39,3.67,6.2988
2025,5,9,33.1,2.49,6.2746
2025,5,10,33.95,3.12,6.4373
2025,5,11,34.18,3.58,6.0497
2025,5,12,34.44,4.4,5.2147
2025,5,13,32.77,4.54,5.4617
2025,5,14,33.42,5.19,6.0271
2025,5,15,32.54,5.15,5.1257
2025,5,16,32.01,4.99,5.4074
2025,5,17,31.32,4.73,5.537
2025,5,18,30.82,4.23,3.9504
2025,5,19,31.18,4.01,5.6782
2025,5,20,31.12,4.57,6.0403
2025,5,21,30.94,4.78,5.8606
2025,5,22,29.64,1.86,5.6945
2025,5,23,29.97,1.48,4.225
2025,5,24,29.81,1.34,4.5372
2025,5,25,28.2,2.76,4.4208
2025,5,26,29.36,3.02,2.8865
2025,5,27,28.72,4.36,3.7704
2025,5,28,29.02,3.21,4.6248
2025,5,29,29.05,4.7,2.5862
2025,5,30,30.71,5.76,4.6022
2025,5,31,29.91,4.73,4.3627
2025,6,1,31.56,4.5,5.2915
2025,6,2,31.71,3.6,5.7199
2025,6,3,31.73,4.18,5.6369
2025,6,4,30.9,2,4.23
2025,6,5,30.63,2.25,4.3733
2025,6,6,30.81,2.03,5.4329
2025,6,7,30.86,2.26,6.5813
2025,6,8,31.15,2.49,6.1039
2025,6,9,31.18,2.28,5.9191
2025,6,10,30.33,2.91,5.5092
2025,6,11,29.71,2.68,5.0998
2025,6,12,30.63,2.89,6.0187
2025,6,13,30.84,3.29,6.223
2025,6,14,31.02,3.54,5.9801
2025,6,15,29.65,2.09,3.1315
2025,6,16,28.46,3.36,4.5626
2025,6,17,28.3,5.61,1.7453
2025,6,18,28.4,6.24,1.3195
2025,6,19,28.12,8.44,2.5022
2025,6,20,29.12,5.4,1.8934
2025,6,21,30.13,4.09,4.0829
2025,6,22,29.31,3.17,2.3242
2025,6,23,28.78,2.92,4.7659
2025,6,24,29.29,3.17,5.0242
2025,6,25,29.18,4.83,4.7645
2025,6,26,28.89,4.81,4.5804
2025,6,27,29.23,4.5,3.4915
2025,6,28,28.57,4.28,1.6625
2025,6,29,29.26,1.4,3.707
2025,6,30,28.3,3.09,3.5208
2025,7,1,29.01,3.7,4.7028
2025,7,2,29.14,2.59,4.7218
2025,7,3,29.04,3.66,4.1232
2025,7,4,28.58,3.48,2.1168
2025,7,5,28.7,4.77,3.7927
2025,7,6,27.86,6.28,2.3902
2025,7,7,28.02,4.72,2.2613
2025,7,8,27.63,2.98,1.4674
2025,7,9,27.45,4.58,1.6678
2025,7,10,28.33,4.69,3.521
2025,7,11,28.59,2.7,4.3342
2025,7,12,28.87,2.27,4.8965
2025,7,13,28.98,2.09,3.6557
2025,7,14,28.1,3.23,1.9133
2025,7,15,28.48,6.19,1.794
2025,7,16,28.35,3.88,2.7826
2025,7,17,28.33,2.92,5.1118
2025,7,18,28.77,3.18,4.3387
2025,7,19,28.96,3.06,4.7414
2025,7,20,29.14,3.04,4.5199
2025,7,21,29.09,1.68,5.423
2025,7,22,29.81,1.93,5.7804
2025,7,23,30.34,1.85,6.0492
2025,7,24,29.62,1.65,3.1303
2025,7,25,28.46,6.42,2.6064
2025,7,26,28.92,6.27,3.5551
2025,7,27,29.01,4.64,4.9231
2025,7,28,29.06,3.9,2.0969
2025,7,29,28.09,3.73,3.2484
2025,7,30,28.35,3.74,2.621
2025,7,31,28.17,3.89,1.446
2025,8,1,29.08,3.86,4.2449
2025,8,2,28.67,3.86,4.1093
2025,8,3,28.6,3.95,4.5326
2025,8,4,28.39,3.27,3.3286
2025,8,5,28.47,2.53,3.3132
2025,8,6,28.07,3.26,2.1365
2025,8,7,28.2,3.36,2.3345
2025,8,8,27.34,4.96,2.3102
2025,8,9,28.11,4.07,4.6166
2025,8,10,28.36,3.64,5.6873
2025,8,11,29,3.4,4.8775
2025,8,12,29.24,2.73,4.6123
2025,8,13,28.54,3.36,3.1745
2025,8,14,27.7,3.5,3.3914
2025,8,15,27.95,3.52,4.7064
2025,8,16,28.12,2.8,5.8651
2025,8,17,27.91,3.44,4.6505
2025,8,18,27.63,5.08,4.4573
2025,8,19,27.83,5.2,3.8496
2025,8,20,27.78,3.6,2.0436
2025,8,21,27.58,2.35,1.2113
2025,8,22,27.73,3.76,1.301
2025,8,23,27.18,6.56,1.7131
2025,8,24,27.82,4.43,2.9026
2025,8,25,28.34,2.15,4.2818
2025,8,26,27.8,2.78,5.3342
2025,8,27,28,3.91,4.4784
2025,8,28,28.25,4.6,4.8919
2025,8,29,27.8,3.72,3.4087
2025,8,30,27.92,2.49,4.404
2025,8,31,28.73,1.6,5.4269
2025,9,1,28.72,1.55,5.0971
2025,9,2,28.07,3.42,3.3919
2025,9,3,27.87,5.6,3.1082
2025,9,4,27.54,3.23,4.5802
2025,9,5,27.22,2.2,5.1924
2025,9,6,27.84,2.24,5.6791
2025,9,7,28.34,2.04,5.2586
2025,9,8,28.16,2.36,5.6952
2025,9,9,28.34,2.4,5.3813
2025,9,10,28.7,2.53,5.6136
2025,9,11,28.37,2.11,4.812
2025,9,12,27.87,2.16,4.0452
